3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000102 Free shrinkage level, 29620000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 908000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.1e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000132 Free shrinkage level, 30880000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 930000.0 Maximum contact stress, 0.0 Minimum contact stress, 3.3e-05 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 957000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000163 Free shrinkage level, 31724000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 957000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.4e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 975000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.01 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 975000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000195 Free shrinkage level, 32313000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 975000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.5e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000217 Free shrinkage level, 32615000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 986000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.6e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 995000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.012 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 995000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
3.0 Slab length, 3.0 Slab width, 0.25 Slab height, 0.000237 Free shrinkage level, 32846000000.0 Elastic modulus of concrete, 0.0 Elastic modulus steel reinforcement, 0.0 Diameter of steel reinforcement, 0.0 Grid spacing of steel reinforcements, 995000.0 Maximum contact stress, 100000.0 Minimum contact stress, 3.7e-05 Displacement corresponding to the maximum value of shear stress, 0.000169 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 5e-05 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.0001 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.00015 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.0002 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.00025 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
9.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.0003 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
9.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00035 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
9.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00017 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
9.0 Slab length, 3.0 Slab width, 0.2 Slab height, 0.00033 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
5.0 Slab length, 5.0 Slab width, 0.2 Slab height, 0.0001 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
5.0 Slab length, 5.0 Slab width, 0.2 Slab height, 0.00018 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.1 Slab height, 0.00011 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.1 Slab height, 5.5e-05 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.1 Slab height, 0.00033 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.2 Slab height, 0.0002 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.2 Slab height, 0.00023 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.2 Slab height, 0.00026 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.2 Slab height, 0.00029 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.0 Slab length, 4.0 Slab width, 0.2 Slab height, 0.00032 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.00025 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.00038 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.0004 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.00042 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
7.0 Slab length, 3.0 Slab width, 0.3 Slab height, 0.00044 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.00035 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.0004 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.000425 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.00045 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.00037 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.0002 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.000225 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.00025 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.000275 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.0003 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
6.0 Slab length, 5.0 Slab width, 0.25 Slab height, 0.000325 Free shrinkage level, 30000000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.125 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 9.67e-05 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000112 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0001273 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0001426 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0001579 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0001731 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.0001884 Free shrinkage level, 3150000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.02 Diameter of steel reinforcement, 0.1 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
4.5 Slab length, 4.5 Slab width, 0.2 Slab height, 0.000385 Free shrinkage level, 31500000000.0 Elastic modulus of concrete, 206000000000.0 Elastic modulus steel reinforcement, 0.022 Diameter of steel reinforcement, 0.05 Grid spacing of steel reinforcements, 0.0 Maximum contact stress, 0.0 Minimum contact stress, 0.0 Displacement corresponding to the maximum value of shear stress, 0.0 Displacement corresponding to the minimum value of shear stress, 
